Timestamp,"What class are you filling out this survey for? Check all that apply. If none of the listed options apply, select ""Other"" and enter your class name (for example, CS105).",What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Interest in technology and problem-solving],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Fascination with data analysis and decision-making],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Enjoyment of coding, programming, and building applications]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Strong job prospects and high earning potential],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Encouragement or advice from family members, mentors, or educators]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Pressure from family members],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [One or more of my family members or friends work in this area],"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Software Engineering]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Web Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Data Science]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer security and cryptography]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Databases]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Algorithms]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Game Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Networks]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Machine Learning, Data Mining, NLP, AI]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Architecture]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Embedded systems]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Graphics]",Which of the following computer science programs or courses did you take during high school? Select all that apply.,Answer the following questions regarding CS/DS [I feel motivated to expand my CS/DS knowledge and skills beyond UCR’s core curriculum.],Answer the following questions regarding CS/DS [I feel satisfied with the CS/DS courses I have taken at UCR],Answer the following questions regarding CS/DS [I have a clear reason for choosing CS/DS as my major.],Answer the following questions regarding CS/DS [I have considered changing my major to something outside of CS/DS / I have considered no longer pursuing a minor in DS and other CS related majors / I have considered taking no more CS/DS classes in the future],Indicate how accurately the following statements about coding apply to you: [The code/programs I produce are exceptional],Indicate how accurately the following statements about coding apply to you: [I am very comfortable with programming/writing code.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding in an academic setting.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding outside of an academic setting.],Indicate how accurately the following statements about coding apply to you: [I often feel discouraged when coding.],What is your current cumulative GPA?,Around what time did you become interested in CS/DS?,How often do you attend TA/professor office hours?
4/28/2025 1:47:42,CS105,Junior,0,Data Science major,4,5,2,3,1,1,1,I wanted a major that aligns better with my personal values or lifestyle.,Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,None of the above,4,4,5,2,4,4,5,4,2,3.33 – 3.67,High School,Seldom
4/28/2025 8:26:57,CS105,Senior,0,CS major,4,3,5,5,1,1,1,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,None of the above,4,4,5,2,3,3,2,5,4,3.33 – 3.67,College,Never
4/28/2025 12:26:47,CS105,Junior,0,CSBA major,4,4,3,5,4,3,2,"I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",3rd,2nd,1st,2nd,1st,3rd,Not applicable,3rd,2nd,Not applicable,Not applicable,Not applicable,"PLTW courses and/or program, AP courses and/or exam",5,5,4,4,2,2,2,4,5,2.0 – 2.33,Middle School,Never
4/28/2025 12:35:13,CS105,Senior,0,CSBA major,3,4,3,4,1,1,1,"N/A, I have never thought about changing my major.",2nd,1st,1st,3rd,2nd,2nd,2nd,2nd,1st,2nd,3rd,2nd,AP courses and/or exam,5,4,4,1,3,3,3,3,3,2.67 – 3.0,High School,Never
4/28/2025 13:11:34,CS105,Senior,0,CS major,na,na,na,na,na,na,na,"N/A, I have never thought about changing my major.",1st,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,4,5,1,5,5,5,5,1,3.67 – 4.0,Middle School,Never
4/28/2025 13:12:26,CS105,Senior,0,CS or DS minor,3,3,2,3,2,1,2,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",Not applicable,1st,2nd,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"PLTW courses and/or program, AP courses and/or exam",5,2,5,4,1,1,3,1,5,3.0 – 3.33,Before Middle School,Never
4/28/2025 13:12:53,CS105,Senior,0,Psychology ,1,3,2,2,1,1,1,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,"3rd, Not applicable",Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,None of the above,5,2,3,2,3,3,4,2,2,3.67 – 4.0,College,Occasionally
4/28/2025 13:18:29,"CS105, CS111",Sophomore,0,Data Science major,3,2,2,3,2,1,1,"I realized I’m more passionate about another field., I wanted a major that aligns better with my personal values or lifestyle.",Not applicable,Not applicable,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,None of the above,4,4,2,1,3,3,4,3,2,3.67 – 4.0,College,More than once a week
4/28/2025 13:19:20,CS105,Senior,0,Mathematics major,na,na,na,na,na,na,na,"N/A, I have never thought about changing my major.",3rd,Not applicable,"1st, Not applicable",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,2,5,1,4,4,5,4,3,2.67 – 3.0,High School,Seldom
4/28/2025 13:28:01,CS105,Junior,0,CS major,2,2,2,3,3,1,2,I wanted a major that aligns better with my personal values or lifestyle.,Not applicable,3rd,1st,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,4,2,2,4,3,3,3,3,4,3.33 – 3.67,College,Seldom
4/28/2025 13:29:48,"CS105, CS111, CS170, CS010C, CS010A, CS061",Junior,0,CS major,4,4,3,4,4,3,4,"N/A, I have never thought about changing my major.",3rd,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,AP courses and/or exam,1,1,1,1,3,2,2,3,2,3.67 – 4.0,High School,Never
4/28/2025 13:42:49,CS105,Senior,0,CS major,3,3,4,5,4,5,4,"I realized I’m more passionate about another field., I wanted a major that aligns better with my personal values or lifestyle.",1st,2nd,2nd,1st,2nd,2nd,1st,2nd,1st,2nd,3rd,3rd,"AP courses and/or exam, IB courses and/or exam",2,4,5,4,3,4,1,4,4,3.67 – 4.0,Middle School,Seldom
4/28/2025 13:43:26,CS105,Senior,0,CS major,5,4,5,2,1,1,1,"I found the coursework too challenging or overwhelming., The current major isn’t meeting my career goals.",1st,2nd,2nd,2nd,2nd,1st,1st,3rd,2nd,3rd,3rd,3rd,AP courses and/or exam,4,4,4,4,1,2,2,5,5,3.67 – 4.0,High School,Seldom
4/28/2025 14:23:25,"CS105, CS111",Junior,0,Data Science major,3,2,4,5,4,3,1,I found the coursework too challenging or overwhelming.,3rd,3rd,2nd,2nd,2nd,2nd,"2nd, 3rd",3rd,3rd,3rd,2nd,2nd,None of the above,4,4,2,2,4,2,5,1,2,3.67 – 4.0,College,Never
4/28/2025 14:24:34,CS105,Senior,0,CS or DS minor,4,5,3,4,2,1,1,"N/A, I have never thought about changing my major.",Not applicable,1st,2nd,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,5,2,2,1,3,4,4,4,5,3.67 – 4.0,College,Seldom
4/28/2025 15:36:47,CS105,Junior,0,CS major,3,4,2,5,5,5,4,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming.",Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,3rd,Not applicable,2nd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,4,1,2,5,2,2,2,2,4,2.67 – 3.0,Middle School,Occasionally
4/28/2025 15:42:15,CS105,Junior,0,Data Science major,3,1,3,5,3,5,3,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,4,5,4,2,4,3,1,5,3.67 – 4.0,High School,Seldom
4/28/2025 15:48:18,CS105,Graduate,1,Data Science major,5,5,3,4,4,1,1,I wanted a major that aligns better with my personal values or lifestyle.,Not applicable,Not applicable,1st,Not applicable,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,5,5,5,1,1,3,3,3,1,3.67 – 4.0,High School,Seldom
4/28/2025 15:50:11,CS111,Junior,0,CS major,4,2,3,4,3,1,2,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming.",1st,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,5,4,4,4,2,2,2,4,5,3.67 – 4.0,College,Seldom
4/28/2025 15:50:46,CS111,Junior,1,Data Science major,5,4,3,4,1,1,2,I found the coursework too challenging or overwhelming.,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,3rd,Not applicable,2nd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,4,5,2,1,4,4,4,3,3.0 – 3.33,High School,Never
4/28/2025 15:51:13,CS111,Junior,0,CEN or EE major,4,4,1,4,4,3,1,I found the coursework too challenging or overwhelming.,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,2nd,Not applicable,None of the above,4,5,5,4,2,2,2,4,5,3.0 – 3.33,Before Middle School,Never
4/28/2025 16:31:34,CS105,Senior,1,CS major,5,1,5,3,1,1,1,"N/A, I have never thought about changing my major.",1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,PLTW courses and/or program,5,2,4,2,3,3,3,4,3,3.67 – 4.0,Middle School,Occasionally
4/28/2025 16:50:04,"CS105, CS010C",Sophomore,0,Data Science major,3,2,1,5,1,1,1,I found the coursework too challenging or overwhelming.,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,Not applicable,"3rd, Not applicable",3rd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,2,2,4,4,2,3,3,2,4,3.67 – 4.0,College,Seldom
4/28/2025 17:09:34,CS105,Senior,0,CS or DS minor,4,3,4,4,1,1,1,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,Not applicable,3rd,None of the above,4,4,4,1,3,3,4,3,3,3.33 – 3.67,High School,Occasionally
4/28/2025 17:26:54,"CS111, CS010C",Sophomore,0,CS major,3,2,3,3,3,2,2,"N/A, I have never thought about changing my major.",1st,3rd,2nd,2nd,1st,1st,1st,3rd,3rd,3rd,3rd,2nd,AP courses and/or exam,5,4,4,1,3,4,4,5,2,3.67 – 4.0,High School,Never
4/28/2025 17:34:47,CS105,Sophomore,0,Data Science major,4,2,2,4,4,4,3,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",Not applicable,2nd,1st,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,2,4,4,4,2,3,2,4,4,3.0 – 3.33,College,Seldom
4/28/2025 17:45:11,CS105,Senior,0,CS or DS minor,3,4,3,4,5,1,1,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,Not applicable,3rd,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,4,4,4,1,4,4,4,3,2,3.67 – 4.0,College,Occasionally
4/28/2025 18:44:37,CS105,Sophomore,0,Data Science major,3,5,3,4,4,4,3,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,4,2,2,1,3,3,2,3,4,2.67 – 3.0,College,Never
4/28/2025 19:41:15,CS111,Junior,1,CS major,5,3,5,4,2,2,1,"N/A, I have never thought about changing my major.",2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,AP courses and/or exam,5,2,5,2,4,5,3,5,1,3.67 – 4.0,Before Middle School,Seldom
4/28/2025 19:52:54,CS105,Senior,0,CS major,4,4,4,4,4,4,4,"I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",3rd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,4,4,4,1,3,3,3,3,2,3.33 – 3.67,High School,Occasionally
4/28/2025 22:24:03,"CS105, CS111",Sophomore,0,Data Science major,3,4,5,4,4,4,4,"N/A, I have never thought about changing my major.",3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,AP courses and/or exam,5,5,2,1,4,5,5,5,1,3.67 – 4.0,High School,Weekly to biweekly
4/28/2025 22:49:18,CS105,Sophomore,0,Data Science major,2,2,2,3,5,4,3,"N/A, I have never thought about changing my major.",2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,3rd,AP courses and/or exam,4,4,2,4,3,3,2,4,3,3.67 – 4.0,Before Middle School,Seldom
4/28/2025 23:19:56,CS105,Junior,0,Sociology ,3,3,3,3,3,2,3,"N/A, I have never thought about changing my major.",Not applicable,1st,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,AP courses and/or exam,4,2,4,2,3,3,2,2,3,3.67 – 4.0,College,Occasionally
4/28/2025 23:26:22,CS105,Graduate,0,CS major,5,3,5,5,5,3,2,"N/A, I have never thought about changing my major.",1st,3rd,2nd,1st,1st,3rd,2nd,2nd,1st,3rd,3rd,3rd,None of the above,5,5,4,1,4,4,4,4,2,3.67 – 4.0,College,Occasionally
4/28/2025 23:30:04,CS105,Junior,0,CS or DS minor,4,5,3,3,4,3,4,"N/A, I have never thought about changing my major.",1st,2nd,2nd,2nd,2nd,1st,1st,2nd,2nd,2nd,"1st, 2nd",1st,None of the above,5,4,5,4,3,3,2,3,4,3.67 – 4.0,High School,Seldom
4/28/2025 23:30:43,CS105,Junior,0,CS or DS minor,4,4,4,3,4,1,3,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,None of the above,4,4,4,1,3,5,3,3,4,3.67 – 4.0,College,Seldom
4/28/2025 23:32:18,"CS105, CS010C",Freshman,0,Data Science major,5,4,4,4,3,1,3,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,AP courses and/or exam,4,2,5,2,3,3,3,4,3,3.67 – 4.0,High School,Occasionally
4/28/2025 23:57:46,CS105,Sophomore,0,Data Science major,1,3,2,4,1,1,5,"N/A, I have never thought about changing my major.",3rd,Not applicable,1st,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,AP courses and/or exam,3,2,4,2,5,5,5,5,1,3.67 – 4.0,High School,Never
4/29/2025 0:33:39,CS105,Sophomore,0,Data Science major,4,3,4,5,5,5,2,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,PLTW courses and/or program,4,4,4,1,4,4,3,3,3,3.0 – 3.33,High School,Occasionally
4/29/2025 11:36:12,"CS105, CS170",Senior,0,Business Administration: Finance,3,5,1,4,3,4,3,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,None of the above,1,4,5,2,2,3,2,1,4,3.67 – 4.0,College,Occasionally
4/29/2025 11:42:20,CS111,Senior,1,CS major,5,3,3,4,3,4,5,I found the coursework too challenging or overwhelming.,1st,1st,3rd,2nd,2nd,2nd,1st,2nd,1st,3rd,3rd,2nd,None of the above,5,2,4,2,3,4,2,5,3,2.33 – 2.67,High School,Seldom
4/29/2025 13:59:28,CS105,Junior,0,Data Science major,5,5,4,5,1,1,1,"N/A, I have never thought about changing my major.",1st,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,1,5,2,4,4,1,5,1,3.0 – 3.33,College,Seldom
4/29/2025 14:26:36,"CS105, CS010C",Freshman,0,Data Science major,4,3,5,4,2,1,2,I found the coursework too challenging or overwhelming.,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,"MESA program, AP courses and/or exam",5,5,4,2,1,4,5,5,4,3.67 – 4.0,Middle School,Never
4/29/2025 14:32:51,CS105,Junior,1,CS major,2,1,3,2,2,2,1,"N/A, I have never thought about changing my major.",1st,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,"AP courses and/or exam, IB courses and/or exam",4,4,5,1,2,5,2,5,4,3.67 – 4.0,High School,Never
4/29/2025 15:00:37,CS105,Sophomore,0,CS or DS minor,2,3,4,4,5,3,4,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",3rd,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,AP courses and/or exam,4,5,4,1,3,3,5,2,4,3.67 – 4.0,High School,Weekly to biweekly
4/29/2025 15:07:46,CS105,Senior,0,CS major,3,4,3,4,5,5,5,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None of the above,2,4,2,5,3,3,1,5,5,2.67 – 3.0,College,Never
4/29/2025 15:09:26,CS105,Sophomore,0,Data Science major,5,5,4,5,4,5,5,"N/A, I have never thought about changing my major.",Not applicable,3rd,1st,Not applicable,1st,1st,Not applicable,1st,1st,Not applicable,3rd,2nd,None of the above,5,5,5,1,4,4,4,4,2,2.33 – 2.67,College,Occasionally
